标题,物品类型,博物馆编号,描述,发现地点,材料,尺寸,位置,获取名称,获取日期,部门,登记号,链接,图片URL
album; painting,album | painting,"1877,0512,0.174-185",Album leaf. Ladies and gentlemen. Ink on paper.,未找到,paper,未找到,Not on display,未找到,1877,Asia,"1877,0512,0.174-185",https://www.britishmuseum.org/collection/object/A_1877-0512-0-174-185,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_19/fa9906a3_354d_4a24_a830_a3c10145ad6b/mid_00696377_001.jpg
album; painting,album | painting,"1993,1225,0.22","Album. Eight leaves. Painting. Ink on paper. Plum, camelia banana leaf and chrysanthemum, lotus, peony Beijing cabbage, Chinese rose and autumn hollyhock.",未找到,paper,Height: Height: 22.50 centimetres (each)(each) | Width: Width: 13.70 centimetres (each)(each),Not on display,Donated by: Robert Hatfield Ellsworth,1993,Asia,"1993,1225,0.22",https://www.britishmuseum.org/collection/object/A_1993-1225-0-22,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_3/a69dc3a8_12ef_436c_86bd_a3bb003cfc7f/mid_00295900_001.jpg
album; painting,album | painting,"1993,0414,0.2","Album of twelve leaves of landscape paintings. Ink and colour on paper. leaf 1-7 concertina, leaf 8-12 loose folder.",未找到,paper,Height: Height: 44.90 centimetres (each leaf)(each leaf) | Width: Width: 33.80 centimetres (each leaf)(each leaf),Not on display,Donated by: Robert Hatfield Ellsworth | In Memory of: Mrs Blanchette Rockefeller III,1993,Asia,"1993,0414,0.2",https://www.britishmuseum.org/collection/object/A_1993-0414-0-2,无图片
album; painting,album | painting,"1983,0604,0.1","Album leaf. History. Narrative of events in the Three Kingdoms, with inscription in Chinese and Manchu. Ink and colour and gold on paper.",未找到,paper,Length: Length: 44.10 centimetres | Width: Width: 43.80 centimetres,Not on display,未找到,1983,Asia,"1983,0604,0.1",https://www.britishmuseum.org/collection/object/A_1983-0604-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_21/1120a231_2e12_445a_b4a0_a3b8015f9fa9/mid_00334582_001.jpg
album; painting,album | painting,"1984,0203,0.52",Album. Eight leaves with landscapes. Painted in ink and colours on paper. Seal on every leaf.,未找到,paper,Height: Height: 26.60 centimetres | Width: Width: 34.10 centimetres,Not on display,Bequeathed by: Sir John M Addis,1984,Asia,"1984,0203,0.52",https://www.britishmuseum.org/collection/object/A_1984-0203-0-52,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/eb322965_6a0c_4baa_902a_a3bf0109c20e/mid_00526526_001.jpg
album; calligraphy; painting,album | calligraphy | painting,"1946,0413,0.1.14",Album leaf. Calligraphy. Specimen of Chinese painting.,未找到,未找到,未找到,Not on display,Donated by: Wyndham O Law,1946,Asia,"1946,0413,0.1.14",https://www.britishmuseum.org/collection/object/A_1946-0413-0-1-14,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/2957762f_58f8_4b52_a899_a3b900754b0b/mid_00348076_001.jpg
album; painting,album | painting,"1877,0714,0.758","Small folding album, each painting a double leaf. Landscapes (ink on paper) and flowers (ink and colours on paper).",未找到,paper,Height: Height: 9 centimetres (paintings and album)(paintings and album) | Width: Width: 13.80 centimetres (album)(album) | Width: Width: 17.50 centimetres (each double sheet image)(each double sheet image),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.758",https://www.britishmuseum.org/collection/object/A_1877-0714-0-758,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_12/e878b34e_02b0_45de_a6ab_a3bf00ce593e/mid_00512343_001.jpg
album; painting,album | painting,"1902,0606,0.52.4",Album leaf. Landscape. Ink and colour on paper.,未找到,paper,Height: Height: 31.60 centimetres | Width: Width: 24.80 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.4",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-4,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/bacd211c_7b58_463f_b207_a3ba00fe8e10/mid_00241424_001.jpg
album; painting,album | painting,"1877,0714,0.755","Folding album. Flower and bamboo, each painting on a double album leaf.Painted in ink and colours on paper.",未找到,paper,Height: Height: 9 centimetres (album and each painting)(album and each painting) | Width: Width: 13.80 centimetres (album)(album) | Width: Width: 17.80 centimetres (each double album sheet)(each double album sheet),Not on display,Donated by: Sarah Maria Reeves,1877,Asia,"1877,0714,0.755",https://www.britishmuseum.org/collection/object/A_1877-0714-0-755,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_8/953d29c2_ab21_44d6_8ec9_a3bf008cbc3f/mid_00492245_001.jpg
album; painting,album | painting,"1902,0606,0.52.8",Album leaf. Crow on branch. Ink on satin.,未找到,textile,Height: Height: 26 centimetres | Width: Width: 21.70 centimetres,Not on display,Bequeathed by: Sir Augustus Wollaston Franks,1902,Asia,"1902,0606,0.52.8",https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-8,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/9542fbf7_09b8_4cf3_b243_a3ba00fea99d/mid_00241434_001.jpg
album; fan; calligraphy; painting,album | fan | calligraphy | painting,"1993,1225,0.9.a-b",Album leaf. Hexagonal fan. Painted in ink on silk. Inscribed and dated. Landscape and calligraphy.,未找到,paper | silk,Height: Height: 23.50 centimetres | Width: Width: 25 centimetres,Not on display,Donated by: Robert Hatfield Ellsworth,1993,Asia,"1993,1225,0.9.a-b",https://www.britishmuseum.org/collection/object/A_1993-1225-0-9-a-b,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/08b37142_83cb_453f_a58e_a3ba010372e1/mid_00243018_001.jpg
